f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
1.24e+10,9.09781e-11,9.08851e-11,9.76201,9.75859,0.726104,0.725617,7.08824,7.081
1.245e+10,9.09643e-11,9.08715e-11,9.78077,9.77881,0.727524,0.726927,7.11574,7.10848
1.25e+10,9.09505e-11,9.08579e-11,9.79943,9.799,0.728944,0.728234,7.14324,7.13597
1.255e+10,9.09369e-11,9.08445e-11,9.81811,9.81916,0.730358,0.729538,7.17074,7.16345
1.26e+10,9.09234e-11,9.08312e-11,9.83673,9.83929,0.731771,0.730839,7.19824,7.19094
1.265e+10,9.091e-11,9.0818e-11,9.85532,9.8594,0.733181,0.732136,7.22573,7.21842
1.27e+10,9.08967e-11,9.08049e-11,9.87388,9.87947,0.734588,0.733431,7.25323,7.24591
1.275e+10,9.08834e-11,9.07919e-11,9.89246,9.89951,0.735987,0.734723,7.28072,7.2734
1.28e+10,9.08703e-11,9.07791e-11,9.91097,9.91952,0.737387,0.736012,7.30822,7.30089
1.285e+10,9.08572e-11,9.07663e-11,9.92946,9.93951,0.738783,0.737298,7.33572,7.32838
1.29e+10,9.08442e-11,9.07537e-11,9.94792,9.95946,0.740175,0.738581,7.36321,7.35587
1.295e+10,9.08314e-11,9.07412e-11,9.96631,9.97938,0.741568,0.739861,7.3907,7.38336
1.3e+10,9.08186e-11,9.07288e-11,9.98472,9.99928,0.742955,0.741139,7.4182,7.41085
1.305e+10,9.0806e-11,9.07164e-11,10.0031,10.0191,0.744337,0.742414,7.44569,7.43835
1.31e+10,9.07934e-11,9.07042e-11,10.0215,10.039,0.745718,0.743686,7.47318,7.46584
1.315e+10,9.07809e-11,9.06921e-11,10.0397,10.0588,0.747098,0.744955,7.50067,7.49334
1.32e+10,9.07685e-11,9.06801e-11,10.058,10.0785,0.748473,0.746222,7.52816,7.52083
